Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA HERMANO GASPAR,N/A,423,359,359,345,14,N/A,1,0,1,0,4,130,210
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,CENTRO DE EDUCACION INICIAL. EL TROMPO,N/A,508,288,288,281,7,N/A,1,0,0,0,0,63,218
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA ESTADAL ANTONIO FERNADEZ MOSQUEDA,N/A,220,187,187,183,4,N/A,1,0,0,0,0,44,139
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA ESTADAL CONCENTRADA FERNANDO FIGUEREDO,N/A,1590,1209,1209,1162,47,N/A,3,0,0,0,9,313,840
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA BASICA YUMA,N/A,1755,1344,1344,1314,30,N/A,3,0,0,2,7,335,970
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,UNIDAD EDUCATIVA LUIS BELTRAN PRIETO FIGUEROA,N/A,1090,919,919,904,15,N/A,2,0,0,0,2,284,618
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,UNIDAD EDUCATIVA  NACIONAL BOLIVARIANA COPETON,N/A,273,207,207,203,4,N/A,1,0,0,0,0,46,157
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,UNIDAD EDUCATIVA NACIONAL CONCENTRADA NACIONAL  COGOLLAL,N/A,491,381,381,375,6,N/A,1,2,2,1,3,67,300
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,UNIDAD EDUCATIVA ESTADAL CONCENTRADA LAS VEGAS,N/A,417,352,352,345,7,N/A,1,0,0,0,5,47,293
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA EL PIÑAL,N/A,715,591,591,580,11,N/A,2,0,1,0,3,196,380
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,UNIDAD EDUCATIVA SANTOS ANGEL DE CUSTODIOS,N/A,601,226,226,220,6,N/A,2,0,0,0,3,92,125
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,ESCUELA ESTADAL PATRICIO MARTINEZ,N/A,385,290,290,278,12,N/A,1,0,0,0,1,67,210
EDO. CARABOBO,MP. CARLOS ARVELO,PQ. GUIGUE,JARDIN DE INFANCIA LINO DE CLEMENTEII,N/A,723,389,389,384,5,N/A,2,0,0,0,1,114,269
